ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
26071097Q1JM6K,Đang chờ xử lý,237317527249677,2026-07-10 00:32:07,,2026-07-10 00:31:33,Bobby - Gian Hàng Chính Hãng,63521925,Shopee Mall(Non-CB),12514779863,Tã dán sơ sinh Bobby NB70/S54/M46 mới- Lõi nén cotton-soft 3mm,120663472784,Normal Product,,Mẹ & Bé,Tã & bô em bé,Tã dùng một lần,194999,3,XTRA Comm,,456297,,3.50%,15970.395,3.00%,13688.91,29659.305,15970.395,13688.91,29659.305,,0,0.00%,0,100.00%,29659.305,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
26071096YRRC7V,Đang chờ xử lý,237316746249033,2026-07-10 00:19:06,,2026-07-10 00:18:39,Trang Nháy Store,158492801,Preferred(Non-CB),52555480956,"Sữa GrowPLUS+ Đỏ Lon1,5kg Hỗ Trợ Tăng Cân Phát Triển Não Bộ Chiều Cao Dành Cho Bé-SỮA BỈM TRANG NHÁY 2",386007937036,Normal Product,,Mẹ & Bé,Sữa công thức & Thực phẩm cho bé,Sữa công thức,1260000,1,Shopee Comm,,982800,,3.50%,34398,0.00%,0,34398,34398,0,34398,,0,0.00%,0,100.00%,34398,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
260710966QN2VX,Đang chờ xử lý,237315906235510,2026-07-10 00:05:06,,2026-07-10 00:04:39,Con Cưng Official Store,27495839,Shopee Mall(Non-CB),26610677205,"Sữa GrowPlus+ Đỏ 2+ tuổi, 1.5kg (giao bao bì ngẫu nhiên)",233199932221,Normal Product,478166905335885_0_0,Mẹ & Bé,Sữa công thức & Thực phẩm cho bé,Sữa công thức,629000,2,XTRA Comm,,934440,,3.50%,32705.4,2.00%,18688.8,51394.2,32705.4,18688.8,51394.2,,0,0.00%,0,100.00%,51394.2,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
260710966QN2VX,Đang chờ xử lý,237315906235510,2026-07-10 00:05:06,,2026-07-10 00:04:39,Con Cưng Official Store,27495839,Shopee Mall(Non-CB),46511498055,QT_CC_Sữa bột Nutifood_Bộ hộp thực phẩm chữ nhật Hokkaido 750-1500-2500ml,325998452510,Normal Product,478166905335885_0_0,Mẹ & Bé,Đồ chơi,Búp bê & Thú nhồi bông,0,1,Shopee Comm,,0,,3.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
26071095Y3JH8K,Đang chờ xử lý,237315650296838,2026-07-10 00:00:50,,2026-07-09 23:59:26,Bỉm tã cao cấp - Mebevn Store,1295308460,Preferred(Non-CB),26136693609,"sữa tắm wesser cho bé, sữa tắm gội wesser toàn thân cho bé dịu nhẹ, chiết xuất từ thiên nhiên 500ml",270106087337,Normal Product,,Mẹ & Bé,Đồ dùng phòng tắm & Chăm sóc cơ thể bé,Sản phẩm tắm & gội cho bé,135000,1,XTRA Comm,,108000,,3.50%,3780,7.00%,7560,11340,3780,7560,11340,,0,0.00%,0,100.00%,11340,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26071095X41GFX,Đang chờ xử lý,237315617237915,2026-07-10 00:00:17,,2026-07-09 23:59:37,Coolmate - Official Store,24710134,Shopee Mall(Non-CB),40471526048,[TẶNG SRM OXY]Set đồ thể thao Pickleball Áo Polo Teamwear Promax Sportline short thoáng khí Coolmate,261754952080,Normal Product,479268774166854_0_0,Thể Thao & Dã Ngoại,Thời Trang Thể Thao & Dã Ngoại,Áo Thể Thao,448800,1,XTRA Comm,,311064,,7.00%,21774.48,3.00%,9331.92,31106.4,21774.48,9331.92,31106.4,,0,0.00%,0,100.00%,31106.4,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26071095X41GFX,Đang chờ xử lý,237315617237915,2026-07-10 00:00:17,,2026-07-09 23:59:37,Coolmate - Official Store,24710134,Shopee Mall(Non-CB),45312387806,[HÀNG TẶNG - KHÔNG BÁN]Kem rửa mặt có hạt sạch sâu OXY Deep Wash (Scrub) 100g,336072329700,Normal Product,479268774166854_0_0,Sắc Đẹp,Chăm sóc nam giới,Chăm sóc da,0,1,XTRA Comm,,0,,3.50%,0,10.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607098WG1VMF9,Đang chờ xử lý,237306555273783,2026-07-09 21:29:15,,2026-07-04 20:06:36,Sea Makeup Việt Nam,1637662830,Shopee Mall(Non-CB),48351178052,Xịt khoá nền Sea Makeup Stayput Prime & Set Setting Spray Hỗ trợ 16H+++ dưỡng ẩm lâu trôi và hiệu quả lì mịn 100ml,325105423224,Normal Product,,Sắc Đẹp,Trang điểm,Trang điểm mặt,169000,1,Shopee Comm,,133560,,3.50%,4674.6,0.00%,0,4674.6,4674.6,0,4674.6,,0,0.00%,0,100.00%,4674.6,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,,,,,,Websites
2607098VURD5SV,Hoàn thành,237305874240448,2026-07-09 21:17:54,2026-07-11 10:51:34,2026-07-09 21:17:25,SUR.MEDIC VIỆT NAM,308769229,Shopee Mall(Non-CB),24378839441,SALE - Combo 10 Mặt Nạ Vi Sợi Dưỡng Da Chuyên Biệt SUR.MEDIC+ Mask 30g/miếng,195082840136,Normal Product,,Sắc Đẹp,Chăm sóc da mặt,Mặt nạ,349000,1,Shopee Comm,,199200,,3.50%,6972,0.00%,0,6972,6972,0,6972,,0,0.00%,0,100.00%,6972,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607098V4YSHXP,Hoàn thành,237305110238418,2026-07-09 21:05:11,2026-07-11 10:51:26,2026-07-09 21:04:31,Unilever Chăm Sóc Sắc Đẹp,1397276155,Shopee Mall(Non-CB),41074459628,"Combo Gội Xả Giảm rụng & Giúp tóc Phồng dày Dove Derma Hairfall Mới 350G, 300G *",238170926789,Normal Product,5637826774969191260_0_0,Sắc Đẹp,Chăm sóc tóc,Dầu gội,315000,1,XTRA Comm,,183196,,3.50%,6411.86,14.00%,25647.44,32059.3,6411.86,25647.44,32059.3,,0,0.00%,0,100.00%,32059.3,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607098V4YSHXP,Hoàn thành,237305110238418,2026-07-09 21:05:11,2026-07-11 10:51:26,2026-07-09 21:04:31,Unilever Chăm Sóc Sắc Đẹp,1397276155,Shopee Mall(Non-CB),45157699355,[BW gift mới] Bình giữ nhiệt Dove Derma,310684067327,Normal Product,5637826774969191260_0_0,Sắc Đẹp,Khác,,0,1,Shopee Comm,,0,,3.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607098KHGXS1R,Đang chờ xử lý,237295867213621,2026-07-09 18:31:08,,2026-07-09 18:30:46,Bel Việt Nam,447796219,Shopee Mall(Non-CB),28727524200,[LIVESTREAM] Combo 5 Phô mai Con Bò Cười - 16 miếng (224G) - La Vache qui rit,149036023445,Normal Product,,Thực phẩm và đồ uống,Sữa - trứng,Phô mai & bột phô mai,360000,2,XTRA Comm,,590400,,3.50%,20664,6.00%,35424,56088,20664,35424,56088,,0,0.00%,0,100.00%,56088,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607098JWTJ8QV,Đang chờ xử lý,237295206202855,2026-07-09 18:20:07,,2026-07-09 18:19:55,HASAKI VIETNAM,18644537,Preferred(Non-CB),5909137578,Dầu Xả PANTENE Ngăn Rụng Tóc Hair Fall Control Conditioner 650ml Hasaki Sản Phẩm Chính Hãng,22900282358,Normal Product,,Sắc Đẹp,Chăm sóc tóc,Dầu xả,165000,1,Shopee Comm,,132000,,3.50%,4620,0.00%,0,4620,4620,0,4620,,0,0.00%,0,100.00%,4620,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607098JP9AMW4,Đang chờ xử lý,237294953244647,2026-07-09 18:15:53,,2026-07-09 18:15:43,Manso Decor,302098569,C2C(Non-CB),41711181376,Bảng quét mã QR | Bảng STK | Bảng thanh toán | In UV lên mica mờ | để bàn | sang trọng,237978922425,Normal Product,,Nhà cửa & Đời sống,Trang trí nhà cửa,Khác,259000,1,Shopee Comm,,220150,,3.50%,7705.25,0.00%,0,7705.25,7705.25,0,7705.25,,0,0.00%,0,100.00%,7705.25,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070984431TDS,Đang chờ xử lý,237279310297080,2026-07-09 13:55:09,,2026-07-09 13:54:29,MiloKids,1676406007,Preferred(Non-CB),49005682007,Thìa Ăn Dặm Báo Nóng Silicone Cocobear Kèm Hộp - Đồ Dùng Ăn Dặm Cho Bé,415512029643,Normal Product,,Mẹ & Bé,Đồ dùng ăn dặm cho bé,Đồ dùng cho bé,59000,1,XTRA Comm,,54280,,3.50%,1899.8,10.00%,5428,7327.8,1899.8,5428,7327.8,,0,0.00%,0,100.00%,7327.8,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
260709843Y558M,Đang chờ xử lý,237279306216613,2026-07-09 13:55:06,,2026-07-09 13:54:13,Bliss_clothes99,647536,Shopee Mall(Non-CB),57860286397,[Thiết Kế Cao Cấp] Đầm Váy 2 Dây Xẻ Ngực Chiết Eo Dáng Xòe Họa Tiết Hoa Viền Ngọc Sang Chảnh Bliss Shop - V824,380903587548,Normal Product,,Thời Trang Nữ,Đầm,,739000,1,XTRA Comm,,681654,,7.00%,47715.78,3.00%,20449.62,68165.4,47715.78,20449.62,68165.4,,0,0.00%,0,100.00%,68165.4,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070983T4F4JR,Đang chờ xử lý,237278976233323,2026-07-09 13:49:37,,2026-07-09 13:49:21,Nora Design,1257959874,Preferred(Non-CB),55108396826,"Đầm Dự Tiệc Nữ NORA, Thiết Kế Dáng Xòe Ngắn Chất Ren Hoa 3D Đính Đá Sang Trọng Thanh Lịch V1463",238267854345,Normal Product,,Thời Trang Nữ,Đầm,,1120000,1,XTRA Comm,,884000,,7.00%,50000,8.00%,70720,120720,50000,70720,120720,,0,0.00%,0,100.00%,120720,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Others
2607097UYVE43K,Đang chờ xử lý,237270579208710,2026-07-09 11:29:40,,2026-07-09 11:28:47,Mochica - Chuyên Mẹ Và Bé,225902602,Preferred(Non-CB),57911386106,"HỎA TỐC - Sữa công thức Blackmores đủ dòng 1 2 3 cho sự phát triển trí não, cân nặng, tiêu hóa cho bé 0 - 1+ _Mochica",416010485449,Normal Product,,Mẹ & Bé,Sữa công thức & Thực phẩm cho bé,Sữa công thức,499000,1,Shopee Comm,,358083,,3.50%,12532.905,0.00%,0,12532.905,26321.54,0,26321.54,,0,0.00%,0,100.00%,26321.54,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607097UYVE43K,Đang chờ xử lý,237270579208710,2026-07-09 11:29:40,,2026-07-09 11:28:47,Mochica - Chuyên Mẹ Và Bé,225902602,Preferred(Non-CB),57911386106,"HỎA TỐC - Sữa công thức Blackmores đủ dòng 1 2 3 cho sự phát triển trí não, cân nặng, tiêu hóa cho bé 0 - 1+ _Mochica",416010485450,Normal Product,,Mẹ & Bé,Sữa công thức & Thực phẩm cho bé,Sữa công thức,549000,1,Shopee Comm,,393961,,3.50%,13788.635,0.00%,0,13788.635,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607097K4RJYS9,Đang chờ xử lý,237261078265519,2026-07-09 08:51:26,,2026-07-09 08:50:49,Baby Dizzy,35328127,Preferred(Non-CB),10320109237,( 5 MÙI) Nước hoa xịt phòng Spring 225ml,76549473192,Normal Product,,Nhà cửa & Đời sống,"Chất khử mùi, làm thơm nhà","Chất khử mùi, làm thơm",45000,4,XTRA Comm,,156600,,3.50%,5481,2.00%,3132,8613,5481,3132,8613,,0,0.00%,0,100.00%,8613,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607097K3JCPH0,Đang chờ xử lý,237261039214028,2026-07-09 08:50:39,,2026-07-09 08:50:22,Nhật Minh Homecare ,1508757211,Preferred(Non-CB),48857953851,"MUA 3 TẶNG 3 Sáp thơm Aumira khử mùi, xua đuổi côn trùng, chiết xuất từ thiên nhiên dung tích 70g",307542179156,Normal Product,476176599036083_0_0,Nhà cửa & Đời sống,"Chất khử mùi, làm thơm nhà","Chất khử mùi, làm thơm",0,1,XTRA Comm,,0,,3.50%,0,10.00%,0,0,4567.5,13050,17617.5,,0,0.00%,0,100.00%,17617.5,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607097K3JCPH0,Đang chờ xử lý,237261039214028,2026-07-09 08:50:39,,2026-07-09 08:50:22,Nhật Minh Homecare ,1508757211,Preferred(Non-CB),53201064436,"Xịt côn trùng Bengal Ultra S với 2 mùi hương, an toàn cho gia đình dung tích 500ml",297138663180,Normal Product,476176599036083_0_0,Nhà cửa & Đời sống,Dụng cụ chăm sóc nhà cửa,Thuốc và dụng cụ diệt côn trùng,150000,1,XTRA Comm,,130500,,3.50%,4567.5,10.00%,13050,17617.5,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607096RUCCTKX,Đang chờ xử lý,237232847205238,2026-07-09 01:00:48,,2026-07-09 00:53:35,U.found Thebasic,376135702,Preferred(Non-CB),28134582991,Quần suông ống rộng đáp gấu ngang Stella Pants - 𝒖.𝒇𝒐𝒖𝒏𝒅,167138980585,Normal Product,,Thời Trang Nữ,Quần,Quần dài,334000,1,XTRA Comm,,244920,,7.00%,17144.4,6.00%,14695.2,31839.6,17144.4,14695.2,31839.6,,0,0.00%,0,100.00%,31839.6,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607096M74T8DW,Hoàn thành,237227873203632,2026-07-08 23:37:54,2026-07-10 14:43:30,2026-07-08 23:36:32,SHOP HOÀ AN ,1859655042,C2C(Non-CB),50962370109,(1 Hộp): Sữa Đặc VINAMILK NGÔI SAO PHƯƠNG NAM 1284G,381071496674,Normal Product,,Thực phẩm và đồ uống,Sữa - trứng,Sữa,92000,1,Shopee Comm,,68999,,3.50%,2414.965,0.00%,0,2414.965,2414.965,0,2414.965,,0,0.00%,0,100.00%,2414.965,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607096M74T8DV,Hoàn thành,237227873203632,2026-07-08 23:37:54,2026-07-10 14:43:26,2026-07-08 23:36:43,BIEN HOA CONSUMER ,310839930,Shopee Mall(Non-CB),13081425786,Combo 2 Túi Đường Tinh Luyện Pure Biên Hòa 1kg/túi,170834110927,Normal Product,,Thực phẩm và đồ uống,Nguyên liệu nấu ăn,Đường,67400,1,Shopee Comm,,50551,,3.50%,1769.285,0.00%,0,1769.285,1769.285,0,1769.285,,0,0.00%,0,100.00%,1769.285,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
